date,cases,deaths
2020-03-27,0,0
2020-03-28,3843,112
2020-03-29,361,22
2020-03-30,313,23
2020-03-31,1093,42
2020-04-01,1152,42
2020-04-02,1041,57
2020-04-03,1184,60
2020-04-04,1185,73
2020-04-05,823,54
2020-04-06,943,69
2020-04-07,1789,124
2020-04-08,2147,134
2020-04-09,1846,128
2020-04-10,1834,123
2020-04-11,1104,65
2020-04-12,1389,94
2020-04-13,1385,108
2020-04-14,1762,208
2020-04-15,3149,204
2020-04-16,1984,188
2020-04-17,3293,210
2020-04-18,2929,211
2020-04-19,1933,114
2020-04-20,1920,116
2020-04-21,2535,166
2020-04-22,2833,166
2020-04-23,3795,404
2020-04-24,3687,365
2020-04-25,5538,359
2020-04-26,3233,197
2020-04-27,4412,310
2020-04-28,5606,496
2020-04-29,6235,435
2020-04-30,7036,426
2020-05-01,6099,441
2020-05-02,4938,393
2020-05-03,4656,294
2020-05-04,6498,276
2020-05-05,6959,598
2020-05-06,10536,619
2020-05-07,9869,607
2020-05-08,10041,752
2020-05-09,10521,733
2020-05-10,6723,495
2020-05-11,5630,395
2020-05-12,9196,881
2020-05-13,11325,748
2020-05-14,13838,840
2020-05-15,15068,824
2020-05-16,14954,817
2020-05-17,7935,487
2020-05-18,13087,672
2020-05-19,16900,1176
2020-05-20,19776,889
2020-05-21,18470,1186
2020-05-22,20624,998
2020-05-23,16227,962
2020-05-24,16064,656
2020-05-25,11479,809
2020-05-26,16239,1036
2020-05-27,20743,1085
2020-05-28,26187,1138
2020-05-29,27648,1140
2020-05-30,34005,953
2020-05-31,14379,478
2020-06-01,12260,623
2020-06-02,28905,1261
2020-06-03,28072,1346
2020-06-04,31072,1469
2020-06-05,30621,1003
2020-06-06,27016,901
2020-06-07,18902,521
2020-06-08,15442,678
2020-06-09,32183,1270
2020-06-10,32857,1270
2020-06-11,30222,1236
2020-06-12,25958,909
2020-06-13,21726,893
2020-06-14,17118,610
2020-06-15,20620,627
2020-06-16,34881,1281
2020-06-17,32029,1266
2020-06-18,22666,1235
2020-06-19,54146,1203
2020-06-20,34564,1020
2020-06-21,17299,627
2020-06-22,21376,652
2020-06-23,39310,1373
2020-06-24,42854,1189
2020-06-25,39279,1138
2020-06-26,46998,989
2020-06-27,38127,1106
2020-06-28,30333,551
2020-06-29,23951,691
2020-06-30,35459,1279
2020-07-01,44642,1037
2020-07-02,48018,1249
2020-07-03,41964,1285
2020-07-04,38161,1088
2020-07-05,25990,599
2020-07-06,20163,619
2020-07-07,45374,1267
2020-07-08,44480,1221
2020-07-09,42407,1218
2020-07-10,44979,1214
2020-07-11,38958,1071
2020-07-12,24781,629
2020-07-13,20210,732
2020-07-14,41478,1279
2020-07-15,39679,1250
2020-07-16,45612,1321
2020-07-17,34077,1160
2020-07-18,28511,920
2020-07-19,23454,714
2020-07-20,20203,630
2020-07-21,40816,1361
2020-07-22,67694,1282
2020-07-23,59890,1308
2020-07-24,55671,1155
2020-07-25,50972,1206
2020-07-26,24442,546
2020-07-27,23247,620
2020-07-28,40671,918
2020-07-29,68326,1590
2020-07-30,57982,1128
2020-07-31,52127,1211
2020-08-01,45144,1089
2020-08-02,25862,541
2020-08-03,16574,561
2020-08-04,51386,1153
2020-08-05,56889,1135
2020-08-06,52832,1528
2020-08-07,49910,1072
2020-08-08,49733,905
2020-08-09,22956,570
2020-08-10,21942,698
2020-08-11,51827,1271
2020-08-12,54687,1174
2020-08-13,59778,1261
2020-08-14,50279,1061
2020-08-15,41480,709
2020-08-16,23013,620
2020-08-17,19271,675
2020-08-18,47570,1353
2020-08-19,48874,1208
2020-08-20,45189,1207
2020-08-21,30252,1051
2020-08-22,49703,890
2020-08-23,23359,490
2020-08-24,16989,562
2020-08-25,47170,1269
2020-08-26,46779,1082
2020-08-27,44015,980
2020-08-28,43126,854
2020-08-29,41209,954
2020-08-30,16120,363
2020-08-31,45286,551
2020-09-01,42498,1214
2020-09-02,46741,1185
2020-09-03,43770,898
2020-09-04,50550,905
2020-09-05,29670,681
2020-09-06,15123,448
2020-09-07,10154,310
2020-09-08,14222,503
2020-09-09,35592,1074
2020-09-10,40473,981
2020-09-11,43645,873
2020-09-12,32483,813
2020-09-13,14734,415
2020-09-14,15107,380
2020-09-15,36557,1113
2020-09-16,36714,982
2020-09-17,36153,827
2020-09-18,39656,857
2020-09-19,32986,736
2020-09-20,16347,362
2020-09-21,13367,376
2020-09-22,33262,835
2020-09-23,33216,867
2020-09-24,32763,825
2020-09-25,31839,729
2020-09-26,28186,867
2020-09-27,14281,335
2020-09-28,13146,315
2020-09-29,32015,859
2020-09-30,33346,1031
2020-10-01,36166,726
2020-10-02,33248,707
2020-10-03,26209,598
2020-10-04,8407,365
2020-10-05,11948,323
2020-10-06,40745,818
2020-10-07,31726,733
2020-10-08,27744,728
2020-10-09,27374,680
2020-10-10,26616,554
2020-10-11,12293,287
2020-10-12,8420,201
2020-10-13,10166,308
2020-10-14,27239,748
2020-10-15,28485,712
2020-10-16,30786,754
2020-10-17,23926,458
2020-10-18,10943,228
2020-10-19,15227,270
2020-10-20,23005,661
2020-10-21,24765,564
2020-10-22,24800,497
2020-10-23,29909,568
2020-10-24,26880,431
2020-10-25,13457,230
2020-10-26,15677,262
2020-10-27,29650,547
2020-10-28,28493,508
2020-10-29,26058,513
2020-10-30,22214,506
2020-10-31,18868,406
2020-11-01,10106,190
2020-11-02,8467,179
2020-11-03,11804,242
2020-11-04,23921,610
2020-11-05,22177,629
2020-11-06,21294,302
2020-11-07,19729,230
2020-11-08,10521,127
2020-11-09,10462,231
2020-11-10,24847,201
2020-11-11,48249,544
2020-11-12,33120,909
2020-11-13,28977,456
2020-11-14,37914,918
2020-11-15,14027,140
2020-11-16,13200,215
2020-11-17,35151,684
2020-11-18,33745,755
2020-11-19,35528,605
2020-11-20,38289,551
2020-11-21,32499,375
2020-11-22,18471,194
2020-11-23,16088,303
2020-11-24,31001,629
2020-11-25,47768,651
2020-11-26,37501,687
2020-11-27,33977,511
2020-11-28,51840,586
2020-11-29,24390,270
2020-11-30,21089,287
